,FixationSeq,FixationX,FixationY,FixationStart,FixationDuration
27387,297.0,540.0,441.0,228800.0,159.0
27451,298.0,328.0,434.0,229350.0,200.0
27501,299.0,303.0,481.0,229750.0,377.0
27557,300.0,382.0,597.0,230217.0,158.0
27577,301.0,409.0,591.0,230384.0,200.0
27609,302.0,547.0,575.0,230650.0,151.0
27674,303.0,510.0,579.0,231193.0,100.0
27692,304.0,687.0,595.0,231342.0,441.0
27795,305.0,303.0,596.0,232260.0,176.0
27873,306.0,511.0,648.0,232852.0,156.0
27904,307.0,424.0,681.0,233109.0,203.0
27973,308.0,487.0,588.0,233683.0,100.0
27996,309.0,645.0,580.0,233876.0,123.0
28012,310.0,604.0,565.0,234008.0,195.0
28044,311.0,573.0,535.0,234274.0,126.0
28098,312.0,788.0,524.0,234724.0,110.0
28114,313.0,645.0,554.0,234858.0,191.0
28138,314.0,572.0,547.0,235058.0,116.0
28156,315.0,302.0,523.0,235208.0,241.0
28191,316.0,282.0,557.0,235499.0,108.0
28206,317.0,316.0,603.0,235624.0,150.0
28230,318.0,638.0,595.0,235824.0,150.0
28251,319.0,739.0,587.0,236001.0,207.0
28285,320.0,397.0,619.0,236282.0,175.0
28312,321.0,493.0,640.0,236508.0,216.0
28343,322.0,650.0,648.0,236770.0,138.0
28368,323.0,579.0,561.0,236974.0,100.0
28441,324.0,360.0,530.0,237582.0,225.0
28504,325.0,501.0,532.0,238109.0,114.0
28519,326.0,413.0,526.0,238232.0,250.0
28603,327.0,321.0,534.0,238936.0,513.0
28677,328.0,500.0,573.0,239548.0,109.0
28722,329.0,471.0,601.0,239924.0,155.0
28773,330.0,417.0,487.0,240350.0,157.0
28810,331.0,341.0,527.0,240657.0,116.0
28831,332.0,393.0,648.0,240835.0,138.0
28914,333.0,430.0,560.0,241531.0,117.0
28945,334.0,519.0,602.0,241784.0,181.0
28968,335.0,414.0,616.0,241973.0,134.0
29017,336.0,574.0,614.0,242382.0,144.0
29043,337.0,450.0,604.0,242600.0,127.0
29125,338.0,478.0,503.0,243281.0,250.0
29339,339.0,419.0,353.0,245070.0,102.0
29624,340.0,594.0,375.0,247439.0,101.0
29691,341.0,318.0,375.0,247998.0,135.0
29709,342.0,302.0,371.0,248148.0,209.0
29751,343.0,356.0,373.0,248499.0,100.0
29764,344.0,374.0,381.0,248607.0,111.0
29925,345.0,540.0,416.0,249948.0,134.0
30306,346.0,434.0,356.0,253124.0,175.0
30418,347.0,946.0,371.0,254057.0,196.0
30845,348.0,613.0,475.0,257609.0,162.0
31502,351.0,530.0,341.0,263079.0,100.0
31536,352.0,598.0,351.0,263363.0,198.0
31602,353.0,514.0,358.0,263911.0,193.0
31756,354.0,453.0,448.0,265195.0,136.0
31905,355.0,812.0,350.0,266436.0,100.0
31946,356.0,506.0,339.0,266778.0,232.0
32196,357.0,440.0,462.0,268860.0,193.0
32511,358.0,381.0,366.0,271485.0,144.0
32534,359.0,419.0,437.0,271680.0,198.0
32873,360.0,378.0,585.0,274500.0,736.0
33026,361.0,390.0,614.0,275775.0,352.0
33071,362.0,382.0,593.0,276156.0,129.0
33090,363.0,387.0,588.0,276309.0,166.0
33122,364.0,317.0,584.0,276576.0,109.0
33138,365.0,429.0,653.0,276709.0,216.0
33174,366.0,392.0,707.0,277009.0,250.0
33228,367.0,403.0,684.0,277459.0,169.0
33251,368.0,404.0,635.0,277650.0,176.0
33284,369.0,400.0,690.0,277925.0,599.0
33363,370.0,365.0,700.0,278580.0,128.0
33378,371.0,332.0,712.0,278709.0,100.0
33435,372.0,429.0,730.0,279185.0,290.0
33474,373.0,306.0,716.0,279509.0,191.0
33498,374.0,325.0,782.0,279708.0,866.0
33812,375.0,398.0,311.0,282420.0,177.0
33852,376.0,554.0,324.0,282747.0,126.0
33869,377.0,374.0,431.0,282889.0,233.0
33912,378.0,537.0,312.0,283248.0,242.0
33945,379.0,395.0,285.0,283522.0,101.0
