,StudyName,ExportDate,Name,Age,Gender,StimulusName,SlideType,EventSource,UTCTimestamp,Timestamp,MediaTime,TimeSignal,GazeLeftx,GazeLefty,GazeRightx,GazeRighty,PupilLeft,PupilRight,DistanceLeft,DistanceRight,CameraLeftX,CameraLeftY,CameraRightX,CameraRightY,ValidityLeft,ValidityRight,GazeX,GazeY,GazeAOI,InterpolatedGazeX,InterpolatedGazeY,GazeEventType,GazeVelocityAngle,SaccadeSeq,SaccadeStart,SaccadeDuration,FixationSeq,FixationX,FixationY,FixationStart,FixationDuration,FixationAOI,PostMarker,Annotation,LiveMarker,KeyStroke,MarkerText,SceneType,SceneOutput,SceneParent Current_task
4629,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211202859,20170609_141202859,37904,45010,939,963,948,968,-1,-1,559.4241,547.2465,0.4265459,0.5385239,0.3036948,0.5360646,0,0,944,966,,944,966,,0,,,,39,954,966,37904,807,,,,,,,,,
4831,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211204542,20170609_141204542,39587,46693,983,362,989,385,3.16864,3.098587,564.4605,551.8687,0.4436312,0.5393609,0.3211769,0.5302382,0,0,986,374,,986,374,,0,,,,40,993,372,39587,547,,,,,,,,,
4929,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211205358,20170609_141205358,40403,47510,896,626,975,639,-1,-1,565.6809,551.7828,0.441709,0.5408937,0.3190428,0.5316743,0,0,936,632,,936,632,,0,,,,41,929,650,40403,108,,,,,,,,,
6216,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211216066,20170609_141216066,51110,58217,958,711,1047,791,-1,-1,556.4175,534.3647,0.4135186,0.5555418,0.2843998,0.5540314,0,0,1002,751,,1002,751,,0,,,,42,984,744,51110,158,,,,,,,,,
6238,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211216250,20170609_141216250,51294,58400,923,566,970,620,3.347061,3.157837,554.6003,538.2108,0.4190623,0.546054,0.2918539,0.5424507,0,0,946,593,,946,593,,0,,,,43,933,561,51294,124,,,,,,,,,
6523,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211218625,20170609_141218625,53670,60775,942,617,973,667,3.977768,3.694473,573.4695,559.3858,0.4433027,0.5550361,0.3195944,0.5465238,0,0,958,642,,958,642,,0,,,,44,957,642,53670,123,,,,,,,,,
6642,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211219615,20170609_141219615,54660,61767,924,401,-1,-1,-1,-1,553.1623,-1,0.4750905,0.5243874,-1,-1,0,4,924,401,,924,401,,0,,,,45,927,408,54660,125,,,,,,,,,
6843,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211221290,20170609_141221290,56335,63441,967,417,-1,-1,-1,-1,548.5616,-1,0.4620279,0.5212064,-1,-1,0,4,967,417,,967,417,,0,,,,46,972,432,56335,134,,,,,,,,,
7611,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211227685,20170609_141227685,62730,69837,925,530,966,596,3.526993,3.405945,516.4105,506.4138,0.4431585,0.5295695,0.3115776,0.5302262,0,0,946,563,,946,563,,0,,,,47,947,542,62730,124,,,,,,,,,
7673,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211228202,20170609_141228202,63246,70353,915,494,-1,-1,-1,-1,525.0967,-1,0.4465508,0.5228131,-1,-1,0,4,915,494,,915,494,,0,,,,48,916,513,63246,209,,,,,,,,,
8147,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211232151,20170609_141232151,67195,74303,891,567,968,664,-1,-1,537.3685,521.9083,0.4465253,0.5247303,0.3176446,0.5228817,0,0,930,616,,930,616,,0,,,,49,931,627,67195,136,,,,,,,,,
8207,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211232652,20170609_141232652,67696,74803,911,619,995,689,-1,-1,543.4854,526.7059,0.4531497,0.5187077,0.3256378,0.5149354,0,0,953,654,,953,654,,0,,,,50,954,668,67696,366,,,,,,,,,
8270,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211233176,20170609_141233176,68220,75328,932,663,995,710,-1,-1,545.464,526.9022,0.4522492,0.5205574,0.3241072,0.5170605,0,0,964,686,,964,686,,0,,,,51,954,685,68220,142,,,,,,,,,
