Participant,Task,AOI,NumberOfFixations,TotalFixationDuration,FixationDurationAverage,NumberOfSaccades,TotalSaccadeLength,SaccadeLengthAverage,TotalSaccadeAbsAngle,SaccadeAbsAngleAverage,TotalSaccadeRelAngle,SaccadeRelAngleAverage,LongestFixationDurationInAOI,ProportionOfTotalFixations,ProportionOfTotalFixationDuration
30,DH1,Question_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DH1,Title_AOI,1,119,119.0,1,787.0514596,787.0514596,106.9154011,106.9154011,69.31474517,69.31474517,119,0.0625,0.04294478527607362
30,DH1,LabelBox_AOI,3,864,288.0,3,440.12655320999994,146.70885106999998,194.157390268,64.71913008933333,197.04779134400002,65.68259711466668,575,0.1875,0.3118007939372068
30,DH1,OptionBox_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DH1,Answers_AOI,2,518,259.0,2,134.35445634,67.17722817,345.6555354000001,172.82776770000004,271.1038,135.5519,267,0.125,0.1869361241429087
30,DH1,XAxis_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DH1,YAxis_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DH1,Graph_AOI,6,761,126.83333333333333,6,2953.56168734,492.2602812233333,820.7687756440001,136.7947959406667,351.81018823200003,58.63503137200001,143,0.375,0.27463009743774813
30,DH1,NoAOI_AOI,4,509,127.25,4,2505.5643429000006,626.3910857250002,121.799684613,30.44992115325,285.64260569299995,71.41065142324999,146,0.25,0.1836881992060628
30,DL5,Question_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DL5,Title_AOI,1,125,125.0,1,882.9065636,882.9065636,119.294123,119.294123,159.2750189,159.2750189,125,0.05555555555555555,0.03840245775729647
30,DL5,LabelBox_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DL5,OptionBox_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DL5,Answers_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DL5,XAxis_AOI,1,108,108.0,1,731.0950691,731.0950691,123.7335393,123.7335393,2.147325662,2.147325662,108,0.05555555555555555,0.03317972350230415
30,DL5,YAxis_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DL5,Graph_AOI,2,287,143.5,2,291.34193448999997,145.67096724499999,190.61876253000003,95.30938126500001,180.28991285,90.144956425,175,0.1111111111111111,0.08817204301075268
30,DL5,NoAOI_AOI,14,2735,195.35714285714286,14,3073.8627633,219.56162595,751.27272485,53.66233748928572,1362.2647999229998,97.30462856592855,438,0.7777777777777778,0.8402457757296466
30,DH5,Question_AOI,1,100,100.0,1,86.57944329,86.57944329,6.632514615,6.632514615,142.5924834,142.5924834,100,0.00847457627118644,0.004097017371353655
30,DH5,Title_AOI,4,759,189.75,4,672.900827,168.22520675,38.233261039,9.55831525975,586.93965702,146.734914255,333,0.03389830508474576,0.031096361848574238
30,DH5,LabelBox_AOI,10,3744,374.4,10,1736.38278147,173.638278147,897.8797491799999,89.78797491799999,729.4680598470001,72.9468059847,1151,0.0847457627118644,0.15339233038348082
30,DH5,OptionBox_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DH5,Answers_AOI,15,2774,184.93333333333334,15,2409.4774048679997,160.63182699119997,1008.294083524,67.21960556826667,1671.69262139,111.44617475933335,324,0.1271186440677966,0.11365126188135037
30,DH5,XAxis_AOI,6,902,150.33333333333334,6,1375.6451024899998,229.2741837483333,482.427234982,80.40453916366667,610.1889326800001,101.69815544666669,234,0.05084745762711865,0.036955096689609966
30,DH5,YAxis_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DH5,Graph_AOI,52,10454,201.03846153846155,52,11395.183969889998,219.13815326711534,5183.002494678,99.67312489765385,4734.884850911001,91.05547790213464,831,0.4406779661016949,0.42830219600131103
30,DH5,NoAOI_AOI,30,5675,189.16666666666666,30,10648.420394509998,354.9473464836666,2178.790971635,72.62636572116666,2266.6915870669995,75.55638623556665,659,0.2542372881355932,0.23250573582431988
30,CL2,Question_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,CL2,Title_AOI,3,480,160.0,3,420.59248261000005,140.19749420333335,144.10771069999998,48.03590356666666,334.56184127,111.52061375666666,216,0.09090909090909091,0.07491805837365381
30,CL2,LabelBox_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,CL2,OptionBox_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
