Current_task,FixationX,FixationY,SaccadeLength
pretask,308.0,643.0,368.41959774148825
pretask,315.0,665.0,23.08679276123039
pretask,407.0,665.0,92.0
pretask,424.0,574.0,92.57429448826494
pretask,356.0,486.0,111.21151019566275
pretask,387.0,619.0,136.56500283747664
pretask,549.0,542.0,179.36833611315015
pretask,428.0,606.0,136.88316185711082
pretask,376.0,645.0,65.0
pretask,382.0,636.0,10.816653826391969
pretask,414.0,650.0,34.92849839314596
pretask,495.0,564.0,118.1397477566293
pretask,312.0,637.0,197.02284131541703
pretask,312.0,650.0,13.0
pretask,309.0,640.0,10.44030650891055
pretask,340.0,638.0,31.064449134018133
pretask,641.0,498.0,331.96535963862254
pretask,708.0,500.0,67.02984409947557
pretask,507.0,540.0,204.94145505485218
pretask,314.0,536.0,193.04144632694815
pretask,527.0,774.0,319.394740094448
pretask,487.0,790.0,43.08131845707603
pretask,466.0,697.0,95.34149149242423
pretask,471.0,783.0,86.14522621712709
pretask,567.0,808.0,99.20181449953424
pretask,449.0,781.0,121.0495766204905
pretask,531.0,785.0,82.09750300709517
pretask,323.0,761.0,209.3800372528384
pretask,312.0,776.0,18.601075237738275
pretask,316.0,787.0,11.704699910719626
pretask,306.0,774.0,16.401219466856727
pretask,380.0,900.0,146.12323566086263
pretask,376.0,754.0,146.05478424207814
pretask,418.0,780.0,49.39635614091387
pretask,695.0,707.0,286.457675756821
pretask,302.0,739.0,394.30064671516834
pretask,329.0,767.0,38.897300677553446
pretask,288.0,756.0,42.44997055358225
pretask,325.0,772.0,40.311288741492746
pretask,379.0,772.0,54.0
pretask,325.0,771.0,54.00925846556311
pretask,320.0,756.0,15.811388300841896
pretask,312.0,750.0,10.0
pretask,307.0,766.0,16.76305461424021
pretask,479.0,718.0,178.5721142843977
pretask,525.0,736.0,49.39635614091387
pretask,314.0,720.0,211.6057655169159
pretask,314.0,750.0,30.0
pretask,316.0,788.0,38.05259518088089
pretask,389.0,786.0,73.02739212103907
pretask,328.0,781.0,61.204574992397426
pretask,383.0,780.0,55.00909015790027
pretask,326.0,780.0,57.0
pretask,375.0,773.0,49.49747468305833
pretask,370.0,849.0,76.16429609731846
pretask,418.0,691.0,165.13025161974412
pretask,474.0,647.0,71.21797525905943
pretask,507.0,573.0,81.02468759581859
pretask,377.0,533.0,136.01470508735443
pretask,372.0,586.0,53.23532661682466
